2.8604742,33.8881684,14.4457461
2.8392102,33.6893767,14.4611725
2.8179451,33.4905868,14.4764590
2.7966793,33.2917982,14.4916070
2.7754131,33.0930069,14.5066179
2.7541474,32.8942170,14.5214931
2.7328827,32.6954282,14.5362340
2.7116192,32.4966367,14.5508419
2.6903577,32.2978464,14.5653183
2.6690989,32.0990568,14.5796643
2.6478429,31.9002646,14.5938814
2.6265907,31.7014733,14.6079709
2.6053426,31.5026825,14.6219339
2.5840990,31.3038890,14.6357718
2.5628608,31.1050963,14.6494858
2.5416284,30.9063037,14.6630772
2.5204021,30.7075085,14.6765472
2.4991827,30.5087137,14.6898970
2.4779708,30.3099188,14.7031278
2.4567667,30.1111213,14.7162407
2.4355711,29.9123241,14.7292369
2.4143845,29.7135264,14.7421176
2.3932074,29.5147261,14.7548840
2.3720404,29.3159258,14.7675370
2.3508841,29.1171248,14.7800779
2.3297388,28.9183212,14.7925077
2.3086053,28.7195173,14.8048276
2.2874840,28.5207125,14.8170385
2.2663754,28.3219051,14.8291416
2.2452803,28.1230972,14.8411379
2.2241990,27.9242881,14.8530285
2.2031319,27.7254762,14.8648143
2.1820800,27.5266638,14.8764964
2.1610435,27.3278499,14.8880757
2.1400229,27.1290332,14.8995533
2.1190189,26.9302157,14.9109302
2.0980321,26.7313964,14.9222072
2.0770628,26.5325744,14.9333854
2.0561117,26.3337513,14.9444658
2.0351794,26.1349262,14.9554491
2.0142662,25.9360983,14.9663365
1.9933729,25.7372692,14.9771287
1.9724999,25.5384378,14.9878267
1.9516477,25.3396036,14.9984314
1.9308170,25.1407678,15.0000000
1.9100082,24.9419297,15.0000000
1.8892219,24.7430886,15.0000000
1.8684586,24.5442458,15.0000000
1.8477189,24.3454005,15.0000000
1.8270032,24.1465520,15.0000000
1.8063122,23.9477017,15.0000000
1.7856464,23.7488486,15.0000000
1.7650063,23.5499924,15.0000000
1.7443924,23.3511340,15.0000000
1.7238054,23.1522727,15.0000000
1.7032456,22.9534082,15.0000000
1.6827137,22.7545413,15.0000000
1.6622103,22.5556714,15.0000000
1.6417357,22.3567981,15.0000000
1.6212907,22.1579223,15.0000000
1.6008757,21.9590432,15.0000000
1.5804912,21.7601607,15.0000000
1.5601378,21.5612755,15.0000000
1.5398161,21.3623868,15.0000000
1.5195265,21.1634947,15.0000000
1.4992696,20.9645996,15.0000000
1.4790460,20.7657009,15.0000000
1.4588562,20.5667986,15.0000000
1.4387007,20.3678932,15.0000000
1.4185801,20.1689841,15.0000000
1.3984948,19.9700713,15.0000000
1.3784455,19.7711551,15.0000000
1.3584327,19.5722351,15.0000000
1.3384569,19.3733113,15.0000000
1.3185187,19.1743839,15.0000000
1.2986185,18.9754526,15.0000000
1.2787570,18.7765173,15.0000000
1.2589347,18.5775784,15.0000000
1.2391521,18.3786353,15.0000000
1.2194101,18.1796882,15.0000000
1.1997095,17.9807371,15.0000000
1.1800508,17.7817818,15.0000000
1.1604350,17.5828223,15.0000000
1.1408628,17.3838585,15.0000000
1.1213349,17.1848903,15.0000000
1.1018521,16.9859177,15.0000000
1.0824152,16.7869406,15.0000000
1.0630250,16.5879589,15.0000000
1.0436822,16.3889727,15.0000000
1.0243876,16.1899817,15.0000000
1.0051420,15.9909860,15.0000000
0.9859461,15.7919856,15.0000000
0.9668006,15.5929802,15.0000000
0.9477064,15.3939699,15.0000000
0.9286643,15.1949547,15.0000000
0.9096749,14.9959343,15.0000000
0.8907392,14.7969090,15.0000000
0.8718583,14.5978784,15.0000000
0.8530342,14.3988423,15.0000000
0.8342696,14.1998008,15.0000000
0.8155674,14.0007534,15.0000000
0.7969305,13.8016995,15.0000000
0.7783619,13.6026397,15.0000000
0.7598645,13.4035732,15.0000000
0.7414412,13.2044994,15.0000000
0.7230951,13.0054190,15.0000000
0.7048290,12.8063311,15.0000000
0.6866458,12.6072352,15.0000000
0.6685487,12.4081320,15.0000000
0.6505403,12.2090207,15.0000000
0.6326238,12.0099006,15.0000000
0.6148020,11.8107726,15.0000000
0.5970779,11.6116358,15.0000000
0.5794544,11.4124894,15.0000000
0.5619345,11.2133348,15.0000000
0.5445212,11.0141706,15.0000000
0.5272172,10.8149961,15.0000000
0.5100257,10.6158130,15.0000000
0.4929495,10.4166196,15.0000000
0.4759916,10.2174151,15.0000000
0.4591550,10.0182018,15.0000000
0.4424425,9.8189776,15.0000000
0.4258570,9.6197417,15.0000000
0.4094018,9.4204967,15.0000000
0.3930795,9.2212401,15.0000000
0.3768930,9.0219712,15.0000000
0.3608456,8.8226931,15.0000000
0.3449399,8.6234029,15.0000000
0.3291789,8.4240996,15.0000000
0.3135658,8.2247873,15.0000000
0.2981032,8.0254621,15.0000000
0.2827941,7.8261235,15.0000000
0.2676417,7.6267758,15.0000000
0.2526488,7.4274148,15.0000000
0.2378180,7.2280398,15.0000000
0.2231529,7.0286559,15.0000000
0.2086559,6.8292582,15.0000000
0.1943300,6.6298460,15.0000000
0.1801786,6.4304251,15.0000000
0.1662040,6.2309903,15.0000000
0.1524094,6.0315404,15.0000000
0.1387980,5.8320847,15.0000000
0.1253674,5.6326134,15.0000000
0.1121132,5.4331234,15.0000000
0.0990313,5.2336335,15.0000000
0.0861157,5.0341266,15.0000000
0.0733619,4.8346044,15.0000000
0.0607659,4.6350830,15.0000000
0.0483218,4.4355460,15.0000000
0.0360250,4.2359955,15.0000000
0.0238715,4.0364463,15.0000000
0.0118556,3.8368829,15.0000000
-0.0000275,3.6373078,15.0000000
-0.0117816,3.4377344,15.0000000
-0.0234125,3.2381480,15.0000000
-0.0349247,3.0385517,15.0000000
-0.0463224,2.8389573,15.0000000
-0.0576110,2.6393511,15.0000000
-0.0687952,2.4397365,15.0000000
-0.0798790,2.2401243,15.0000000
-0.0908679,2.0405012,15.0000000
-0.1017664,1.8408712,15.0000000
-0.1125787,1.6412440,15.0000000
-0.1233102,1.4416066,15.0000000
-0.1339653,1.2419639,15.0000000
-0.1445483,1.0423243,15.0000000
-0.1550644,0.8426753,15.0000000
-0.1655181,0.6430223,15.0000000
-0.1759135,0.4433729,15.0000000
-0.1862561,0.2437145,15.0000000
-0.1965499,0.0440536,15.0000000
-0.2067994,-0.1556033,15.0000000
-0.2170098,-0.3552689,15.0000000
-0.2271853,-0.5549354,15.0000000
-0.2373301,-0.7545974,15.0000000
-0.2474495,-0.9542682,15.0000000
-0.2575475,-1.1539380,15.0000000
-0.2676285,-1.3536029,15.0000000
-0.2776977,-1.5532771,15.0000000
-0.2877589,-1.7529480,15.0000000
-0.2978165,-1.9526138,15.0000000
-0.3078758,-2.1522896,15.0000000
-0.3179402,-2.3519592,15.0000000
-0.3280143,-2.5516238,15.0000000
