# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0435,-17.6208,1.1000,1.1000
2.0435,-17.6708,1.1000,1.1000
2.0435,-17.7208,1.1000,1.1000
2.0435,-17.7708,1.1000,1.1000
2.0935,-17.8208,1.0500,1.0500
2.0935,-17.8708,1.0500,1.0500
2.0935,-17.9208,1.0500,1.0500
2.0935,-17.9708,1.0500,1.0500
2.0935,-18.0208,1.0500,1.0500
2.0935,-18.0708,1.0512,1.0512
2.0935,-18.1208,1.0548,1.0548
2.0935,-18.1708,1.0607,1.0607
2.0935,-18.2208,1.0689,1.0689
2.1435,-18.2708,1.0308,1.0308
2.1435,-18.3208,1.0440,1.0440
2.1435,-18.3708,1.0500,1.0500
2.1435,-18.4208,1.0500,1.0500
2.1435,-18.4708,1.0500,1.0500
2.1435,-18.5208,1.0512,1.0512
2.1435,-18.5708,1.0548,1.0548
2.1435,-18.6208,1.0607,1.0607
2.1935,-18.6708,1.0198,1.0198
2.1935,-18.7208,1.0308,1.0308
2.1935,-18.7708,1.0440,1.0440
2.1935,-18.8208,1.0500,1.0500
2.1935,-18.8708,1.0512,1.0512
2.1935,-18.9208,1.0548,1.0548
2.1935,-18.9708,1.0607,1.0607
2.2435,-19.0208,1.0198,1.0198
2.2435,-19.0708,1.0308,1.0308
2.2435,-19.1208,1.0440,1.0440
2.2435,-19.1708,1.0512,1.0512
2.2435,-19.2208,1.0548,1.0548
2.2435,-19.2708,1.0595,1.0595
2.2435,-19.3208,1.0440,1.0440
2.2435,-19.3708,1.0308,1.0308
2.2935,-19.4208,1.0440,1.0440
2.2935,-19.4708,1.0548,1.0548
2.2935,-19.5208,1.0548,1.0548
2.2935,-19.5708,1.0512,1.0512
2.2935,-19.6208,1.0440,1.0440
2.2935,-19.6708,1.0308,1.0308
2.2935,-19.7208,1.0198,1.0198
2.2935,-19.7708,1.0112,1.0112
2.2935,-19.8208,1.0050,1.0050
2.2935,-19.8708,1.0012,1.0012
2.2935,-19.9208,1.0000,1.0000
2.2935,-19.9708,0.9962,0.9962
2.2935,-20.0208,0.9823,0.9823
2.2935,-20.0708,0.9708,0.9708
2.3435,-20.1208,1.0112,1.0112
2.3435,-20.1708,1.0050,1.0050
2.3435,-20.2208,1.0012,1.0012
2.3435,-20.2708,1.0000,1.0000
2.3435,-20.3208,1.0000,1.0000
2.3435,-20.3708,1.0000,1.0000
2.3435,-20.4208,1.0000,1.0000
2.3435,-20.4708,1.0000,1.0000
2.3435,-20.5208,1.0000,1.0000
2.3435,-20.5708,1.0000,1.0000
2.3935,-20.6208,1.0500,1.0500
2.3935,-20.6708,1.0500,1.0500
2.3935,-20.7208,1.0500,1.0500
2.3935,-20.7708,1.0500,1.0500
2.3935,-20.8208,1.0512,1.0512
2.3935,-20.8708,1.0548,1.0548
2.3935,-20.9208,1.0607,1.0607
2.3935,-20.9708,1.0689,1.0689
2.4435,-21.0208,1.1281,1.1281
2.4435,-21.0708,1.1402,1.1402
2.4435,-21.1208,1.1500,1.1500
2.4435,-21.1708,1.1500,1.1500
2.4435,-21.2208,1.1511,1.1511
2.4435,-21.2708,1.1543,1.1543
2.4435,-21.3208,1.1597,1.1597
2.4935,-21.3708,1.2166,1.2166
2.4935,-21.4208,1.2258,1.2258
2.4935,-21.4708,1.2258,1.2258
2.5435,-21.5208,1.2659,1.2659
2.5435,-21.5708,1.2590,1.2590
2.5435,-21.6208,1.2540,1.2540
2.5935,-21.6708,1.3010,1.3010
2.5935,-21.7208,1.3000,1.3000
2.6435,-21.7708,1.3500,1.3500
2.6435,-21.8208,1.3500,1.3500
2.6435,-21.8708,1.3500,1.3500
2.6935,-21.9208,1.4000,1.4000
2.7435,-21.9708,1.4431,1.4431
2.7935,-22.0208,1.4318,1.4318
2.7935,-22.0708,1.4534,1.4534
2.8435,-22.1208,1.4318,1.4318
2.8435,-22.1708,1.4534,1.4534
2.8935,-22.2208,1.4318,1.4318
2.9435,-22.2708,1.4089,1.4089
2.9935,-22.3208,1.3865,1.3865
2.9935,-22.3708,1.4089,1.4089
3.0435,-22.4208,1.3865,1.3865
3.0935,-22.4708,1.3647,1.3647
3.1435,-22.5208,1.3463,1.3463
3.1935,-22.5708,1.3314,1.3314
3.1935,-22.6208,1.3601,1.3601
3.2435,-22.6708,1.3416,1.3416
3.2935,-22.7208,1.3210,1.3210
3.3435,-22.7708,1.3038,1.3038
3.3935,-22.8208,1.2903,1.2903
3.4435,-22.8708,1.2806,1.2806
3.4435,-22.9208,1.3038,1.3038
3.4935,-22.9708,1.2903,1.2903
3.5435,-23.0208,1.2806,1.2806
3.5935,-23.0708,1.2748,1.2748
3.6435,-23.1208,1.2619,1.2619
3.6935,-23.1208,1.2728,1.2728
3.7435,-23.1708,1.2728,1.2728
3.7935,-23.2208,1.2619,1.2619
3.8435,-23.2708,1.2500,1.2500
3.8935,-23.2708,1.2420,1.2420
3.9435,-23.2708,1.2104,1.2104
3.9935,-23.3208,1.2207,1.2207
4.0435,-23.3208,1.1927,1.1927
4.0935,-23.3208,1.1662,1.1662
4.1435,-23.3208,1.1413,1.1413
4.1935,-23.3708,1.1630,1.1630
4.2435,-23.3708,1.1424,1.1424
4.2935,-23.3708,1.1236,1.1236
4.3435,-23.3708,1.1068,1.1068
4.3935,-23.4208,1.1402,1.1402
4.4435,-23.4208,1.1281,1.1281
4.4935,-23.4208,1.1180,1.1180
4.5435,-23.4208,1.1102,1.1102
4.5935,-23.4208,1.1045,1.1045
4.6435,-23.4208,1.1011,1.1011
4.6935,-23.3708,1.0500,1.0500
4.7435,-23.3708,1.0500,1.0500
4.7935,-23.3708,1.0500,1.0500
4.8435,-23.3708,1.0500,1.0500
4.8935,-23.3708,1.0500,1.0500
4.9435,-23.3208,1.0000,1.0000
4.9935,-23.3208,1.0012,1.0012
5.0435,-23.3208,1.0050,1.0050
5.0935,-23.3208,1.0112,1.0112
5.1435,-23.2708,0.9708,0.9708
5.1935,-23.2708,0.9823,0.9823
5.2435,-23.2708,0.9962,0.9962
5.2935,-23.2708,1.0124,1.0124
5.3435,-23.2708,1.0308,1.0308
5.3935,-23.2208,1.0062,1.0062
5.4435,-23.2208,1.0296,1.0296
